feature	Euamoebida_Copromyxa_microcystidis	Euamoebida_Copromyxa_sp.	Vahlkampfia_Vahlkampfia_avara	Tetramitus_Tetramitus_thorntoni	Arcellinida_metagenome	BOLA868_uncultured_Hartmannellidae	Cercomonas_uncultured_Cercozoa	Viridiraptor_uncultured_eukaryote	uncultured_uncultured_Eimeriidae	Cercozoa_uncultured_eukaryote	Novel_Clade_Gran-4_uncultured_Cercozoa	Novel_Clade_Gran-3_uncultured_freshwater	Ligniera_Ligniera_junci	Polymyxa_uncultured_Plasmodiophoridae	uncultured_Spongospora_sp.	Phytomyxea_uncultured_Plasmodiophoridae	Woronina_uncultured_Plasmodiophoridae	Cercozoa_Athalamea_environmental	uncultured_Dimorpha-like_sp.	Gymnophrys_metagenome	Novel_Clade_10_uncultured_Rhizaria	Goniomonas_Goniomonas_sp.	Nuclearia_metagenome	Salpingoeca_metagenome	Saccamoeba_Saccamoeba_limax	uncultured_uncultured_Eimeriidae.1	Mycamoeba_uncultured_freshwater	Mycamoeba_metagenome	Codosiga_Codosiga_hollandica	uncultured_uncultured_fungus	Sorodiplophrys_uncultured_Eimeriidae	Sorodiplophrys_uncultured_eukaryote	Jakobida_metagenome	Reclinomonas_Reclinomonas_americana	Incertae_Sedis_metagenome	Diplostraca_Diaphanosoma_sp.	Diplostraca_Chydorus_sphaericus	Diplostraca_Pleuroxus_aduncus	Diplostraca_Bosmina_longirostris	Diplostraca_Acroperus_harpae	Diptera_Ablabesmyia_rhamphe	Diptera_Belgica_antarctica	Legeriomycetaceae_Legeriosimilis_sp.	Smittium_Smittium_cf.	Zoopagales_metagenome	uncultured_metagenome	Flamella_uncultured_eukaryote	Telaepolella_Telaepolella_sp.	Telaepolella_Telaepolella_tubasferens	Acanthamoeba_Acanthamoeba_castellanii	Acanthamoeba_Acanthamoeba_hatchetti	Magnoliophyta_Acanthamoeba_sp.	Centramoebida_uncultured_eukaryote	Protosporangium_Endostelium_amerosporum	Ischnamoeba_Ischnamoeba_sp.	Amoebozoa_metagenome	Ischnamoeba_uncultured_eukaryote	Ischnamoeba_Lobosea_sp.	Rigifila_Rigifila_ramosa	H15-6_Choanocystis_symna	CV1-B1-93_uncultured_centroheliozoan	Pterocystis_Pterocystis_sp.	Pterocystis_uncultured_eukaryote	Acanthocystidae_uncultured_eukaryote	H1-10_uncultured_eukaryote	Haptophyta_Spironema_cf.	Parvilucifera_uncultured_alveolate
10S	NA	NA	NA	-13.4706588740606	-9.4262647547021	-9.71577137189708	NA	NA	-9.14873077917319	NA	NA	NA	NA	NA	NA	NA	-10.3007338726182	-12.8856963733394	NA	NA	NA	NA	NA	NA	NA	-9.14873077917319	NA	-10.8856963733394	NA	NA	NA	-9.1852566551983	-9.4262647547021	-8.97880577773088	-10.8856963733394	NA	NA	NA	NA	-13.4706588740606	NA	-5.30324072822881	NA	NA	-9.47065887406055	-10.222731360617	-0.120064942244365	NA	-11.4706588740606	-6.68275631466912	-9.30073387261824	-7.51646256367368	-7.77021915591946	-10.563768278452	-12.1487307791732	-8.97880577773088	NA	-6.58191562516229	NA	NA	NA	NA	-10.1487307791732	-10.222731360617	NA	-14.4706588740606	-8.94709691800354
1S	NA	-7.63773953175902	NA	NA	-4.19862789750132	-7.09025173645653	-7.25071640864977	-6.1682542484578	-4.73826640771298	NA	NA	-1.56010212036475	NA	NA	NA	-6.43128865429159	-5.14835469102009	NA	-7.25071640864977	-6.75321674917896	NA	NA	NA	NA	NA	-4.73826640771298	NA	NA	-11.3381792499001	NA	-5.8146172938431	-4.30475624836266	NA	NA	NA	NA	-10.3381792499001	-4.89523575405138	NA	-11.3381792499001	NA	NA	NA	-7.1682542484578	-6.43128865429159	-6.69432306012539	-7.43128865429159	NA	-6.20889623295515	NA	NA	NA	NA	-6.05277703103786	-6.58329174773664	-7.01625115501275	-7.63773953175902	-2.13850690506375	NA	NA	NA	NA	NA	NA	-8.53082432784251	NA	-5.38398293951324
2S	NA	-10.5849625007212	NA	NA	-2.97763218697155	-8	NA	-7.26303440583379	-5.88452278258006	NA	NA	-5	-6.67807190511264	NA	NA	-9.58496250072116	-5.77760757866355	-8	-9.58496250072116	NA	-10.5849625007212	NA	-6.88452278258006	-6.67807190511264	NA	-5.88452278258006	-6.26303440583379	-6.77760757866355	-6.41503749927884	-8	NA	-7.77760757866355	NA	-6.88452278258006	-8.58496250072116	NA	NA	-9	NA	-6.67807190511264	-7.58496250072116	-9.58496250072116	NA	NA	NA	-5.29956028185891	-7	NA	-4.09310940439148	-10.5849625007212	-10.5849625007212	-8	NA	-5.94110631094643	NA	-6.12553088208386	-8.58496250072116	-1.08113676272541	NA	-7	-10.5849625007212	-10.5849625007212	-9.58496250072116	-4.49749965947082	-9	-6.33703498727757	NA
3S	NA	NA	NA	NA	-5.92304636399956	NA	-11.1324997296285	NA	-7.04503688837817	-5.67306811099121	NA	-4.47428824687671	NA	NA	-10.1324997296285	NA	-7.67306811099121	NA	-7.22560913401999	NA	-7.22560913401999	-7.43206001148742	NA	NA	NA	-7.04503688837817	-7.67306811099121	NA	NA	NA	-7.81057163474115	-5.57791087795087	NA	-7.81057163474115	-9.54753722890735	NA	NA	-11.1324997296285	NA	NA	-0.747715979535157	NA	-11.1324997296285	NA	NA	-7.04503688837817	-7.54753722890735	-8.13249972962851	-7.22560913401999	-11.1324997296285	NA	-11.1324997296285	-9.54753722890735	-7.13249972962851	NA	-7.54753722890735	-6.13249972962851	-2.6128634767853	-6.9625747281862	NA	-5.48864353985378	NA	NA	NA	NA	NA	NA
4S	-7.53203117682583	NA	NA	NA	-4.74195424620006	-8.79506558265962	-9.53203117682583	-7.21010308193846	-7.11699367754698	NA	NA	-5.44456833557549	NA	NA	NA	-7.53203117682583	-6.53203117682583	-7.94706867610467	NA	-10.116993677547	-7.30963875548938	NA	NA	NA	NA	-7.11699367754698	-8.53203117682583	-11.116993677547	-7.53203117682583	-7.53203117682583	-5.62514058121731	-4.12830899077481	-7.65756205890968	-6.36210617538351	-10.116993677547	NA	-6.94706867610467	NA	NA	NA	-1.81321292936988	NA	-7.65756205890968	NA	NA	-6.21010308193846	-8.30963875548938	-7.94706867610467	-6.07259955818853	-11.116993677547	NA	NA	-9.53203117682583	NA	-9.53203117682583	-6.72467625476822	-9.53203117682583	-1.47133524513827	-11.116993677547	-7.30963875548938	-10.116993677547	NA	NA	-5.94706867610467	-4.62514058121731	NA	-11.116993677547
5S	NA	NA	-5.19733372373603	-10.5896511465148	-3.56728333348633	NA	-6.68276055090627	-5.73167015138721	-5.46036812956982	NA	NA	-5.2320991418967	NA	-9.58965114651479	-8.58965114651479	NA	-7.41972614507247	NA	NA	-9.58965114651479	-7.13021952787749	NA	NA	NA	-9.00468864579363	-5.46036812956982	NA	NA	-8.58965114651479	NA	NA	-8.00468864579363	NA	NA	NA	NA	NA	NA	NA	-10.5896511465148	-2.88921142837369	-5.58965114651479	-8.26772305162742	NA	NA	-6.19733372373603	-6.68276055090627	NA	-3.38997880167842	-4.70700809715294	-4.08185650631609	-4.78229622445718	NA	-6.26772305162742	-9.58965114651479	-6.13021952787749	-6.13021952787749	-1.91369411357304	NA	NA	NA	NA	NA	-5.68276055090627	-5.58965114651479	NA	NA
6S	NA	NA	-3.17936984722676	-4.9620627150501	-4.43531482827424	-7.67478076296963	-2.78400983272438	NA	-10.8447057644119	-6.25974326369078	-10.8447057644119	NA	NA	NA	NA	NA	-8.84470576441194	NA	NA	NA	-8.52277766952458	NA	NA	NA	NA	-10.8447057644119	-5.55930354554969	-7.67478076296963	NA	NA	-6.93781516880342	-5.48715375979385	NA	-7.38527414577464	NA	NA	NA	NA	NA	-10.8447057644119	-4.30554695330391	NA	-9.25974326369078	-7.84470576441194	NA	-10.8447057644119	-8.03735084235433	-5.17228042244044	-3.64503341957557	-6.20084957463721	-5.25974326369078	-4.33691112421324	NA	-6.67478076296963	NA	-9.25974326369078	-10.8447057644119	-1.74141795599992	NA	-8.84470576441194	-7.67478076296963	-9.25974326369078	NA	NA	NA	NA	-9.84470576441194
7S	NA	-4.36194377373524	NA	NA	-6.19201877229293	NA	-10.3619437737352	NA	-5.45505317812672	NA	NA	-8.04001567884788	NA	-5.96962635095648	NA	NA	-6.2744809324849	-6.19201877229293	NA	NA	NA	NA	NA	-8.04001567884788	NA	-5.45505317812672	-10.3619437737352	NA	NA	NA	NA	-5.19201877229293	NA	-7.36194377373524	NA	NA	NA	NA	-10.3619437737352	NA	-3.23266075679027	-6.77698127301409	-10.3619437737352	-7.55458885167764	NA	-10.3619437737352	-8.04001567884788	NA	-5.36194377373524	-4.45505317812672	-4.58058406021058	-3.13312508323936	NA	NA	NA	NA	NA	-1.17954942033071	NA	NA	NA	NA	NA	NA	-10.3619437737352	NA	-6.36194377373524
8S	-9.25277293180136	NA	-0.671058782962325	-11.3902764555513	-4.57521343835842	-5.46427703699507	-11.3902764555513	NA	-8.1272420497175	NA	-13.7122045504387	NA	-9.25277293180136	NA	-10.0117648322976	NA	-7.75800824005178	-12.7122045504387	NA	-13.7122045504387	NA	NA	-12.7122045504387	NA	-10.7122045504387	-8.1272420497175	-9.01176483229756	-10.3902764555513	NA	NA	NA	NA	NA	-11.7122045504387	NA	-9.80531395483014	-9.39027645555129	-3.52485247723816	-9.54227954899634	-11.7122045504387	-3.75075485604046	NA	NA	-10.3902764555513	NA	-10.0117648322976	NA	NA	-6.38128767232404	-5.6953962627521	-7.22035145410898	-5.2083788124429	NA	NA	-12.7122045504387	NA	NA	-4.59067103309862	-13.7122045504387	NA	-13.7122045504387	NA	NA	NA	NA	-8.1272420497175	-8.80531395483014
9S	NA	NA	-2.46014812972274	NA	-4.76639460237783	-7.16849304594918	-7.65391987311942	-7.39088546728563	-6.27540824986569	NA	NA	-6.65391987311942	-7.65391987311942	NA	NA	NA	-6.80592296656447	-8.39088546728563	-9.97584796800678	NA	NA	-9.97584796800678	-9.97584796800678	NA	NA	-6.27540824986569	NA	-9.97584796800678	NA	NA	-6.51641634936949	-5.16849304594918	NA	-9.97584796800678	NA	-7.97584796800678	NA	NA	NA	NA	-6.27540824986569	-9.97584796800678	-9.97584796800678	NA	NA	-6.16849304594918	-8.39088546728563	NA	-5.22096046584332	-7.97584796800678	-6.39088546728563	-4.76639460237783	-9.97584796800678	NA	NA	NA	-8.97584796800678	-1.12722502757745	NA	-5.06895737239827	NA	-5.11786697287921	NA	-6.27540824986569	-5.65391987311942	NA	NA
